date,step,decision_day,actions,status
2020-07-01,0,True,"[0.16192865371704102, -0.3020096719264984, -0.060390014201402664, -0.09830821305513382, -0.17684385180473328, 0.025599045678973198, -0.01584451086819172, 0.2698071002960205, -0.2286674827337265, -0.009636769071221352, 0.4475836157798767, 0.2798413038253784, 0.17344777286052704, -0.15371565520763397, 0.10317949950695038, -0.23919112980365753, 0.3446766138076782, 0.29927748441696167, -0.08323121815919876, 0.1007341742515564, 0.08077844977378845, 0.08655755966901779, 0.32211244106292725, 0.21075119078159332, 0.05995139479637146, -0.3099572956562042, 0.12079956382513046, 0.2720745801925659]",model_decision
2020-07-02,1,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",scheduled_hold
2020-07-06,2,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",scheduled_hold
2020-07-07,3,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",scheduled_hold
2020-07-08,4,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",scheduled_hold
2020-07-09,5,True,"[0.16192865371704102, -0.3020096719264984, -0.060390014201402664, -0.09830821305513382, -0.17684385180473328, 0.025599045678973198, -0.01584451086819172, 0.2698071002960205, -0.2286674827337265, -0.009636769071221352, 0.4475836157798767, 0.2798413038253784, 0.17344777286052704, -0.15371565520763397, 0.10317949950695038, -0.23919112980365753, 0.3446766138076782, 0.29927748441696167, -0.08323121815919876, 0.1007341742515564, 0.08077844977378845, 0.08655755966901779, 0.32211244106292725, 0.21075119078159332, 0.05995139479637146, -0.3099572956562042, 0.12079956382513046, 0.2720745801925659]",model_decision
2020-07-10,6,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",scheduled_hold
2020-07-13,7,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",scheduled_hold
2020-07-14,8,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",scheduled_hold
2020-07-15,9,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",scheduled_hold
